,title,price,condition,bids,sold date,postage
101,MSI NVIDIA GTX 1060 ARMOR OC 6GB,149.87,Pre-owned,10 bids,05-Jul 18:07,3.95
102,MSI GeForce GTX 1060  6 GB ARMOR Graphics Card GPU ,135.0,Pre-owned,23 bids,05-Jul 13:44,Free
103,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,139.0,Pre-owned,14 bids,04-Jul 18:11,4.10
105,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,135.0,Pre-owned,17 bids,27-Jun 14:20,4.10
106,MSI GeForce GTX 1060 3gb Armor OCV1,98.8,Pre-owned,7 bids,26-Jun 21:32,3.70
107,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,137.0,Pre-owned,11 bids,20-Jun 13:59,4.10
108,MSI GeForce GTX 1060 ARMOR 6GB GDDR5 OC Graphics Card,155.0,Pre-owned,*Buy Now*,18-Jun 20:25,5.00
109,MSI Gaming Armor GeForce GTX 1060 6GB GDDR5 GTX1060 Armor 6G OC Graphics Card,159.99,Pre-owned,*Buy Now*,18-Jun 11:40,Free
110,MSI NVIDIA GeForce GTX 1060 ARMOR 6GB OC Edition Graphics Card,155.0,Pre-owned,1 bid,17-Jun 19:30,4.00
111,MSI Nvidia Geforce GTX 1060 Armor 6GB,135.0,Pre-owned,7 bids,16-Jun 12:18,3.70
112,MSI ARMOR OC - NVIDIA GeForce GTX 1060 3GB GDDR5 Graphics Card GPU -GTX10603GTOC,105.0,Pre-owned,10 bids,15-Jun 21:20,Free
113,MSI GeForce GTX 1060 ARMOR 6GB OCV1 graphics card,133.0,Pre-owned,20 bids,14-Jun 18:54,4.97
114,MSI GeForce GTX 1060 ARMOR 6GB OCV1 graphics card,142.0,Pre-owned,14 bids,13-Jun 13:04,4.10
115,MSI NVIDIA GeForce GTX 1060 6GB ARMOR OC Graphics Card,144.0,Pre-owned,27 bids,11-Jun 19:54,8.00
116,MSI ARMOR OC - NVIDIA GeForce GTX 1060 3GB GDDR5 Graphics Card GPU -GTX10603GTOC,92.0,Pre-owned,4 bids,07-Jun 13:53,Free
118,MSI GeForce GTX 1060 3GB - Armor - Used ,91.7,Pre-owned,10 bids,02-Jun 06:32,5.90
119,Video card MSI Armor GTX 1060 3GB,107.0,Pre-owned,*Buy Now*,02-Jun 01:40,7.90
120,MSI NVIDIA GeForce GTX 1060 ARMOR 6GB OC Edition Graphics Card,127.0,Pre-owned,3 bids,31-May 11:58,Free
121,Video card GTX 1060 3GB MSI Armor,109.0,Pre-owned,*Buy Now*,30-May 14:01,6.90
122,Video card GTX 1060 3GB MSI Armor,119.0,Pre-owned,*Buy Now*,29-May 08:46,6.90
123,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,123.88,Pre-owned,17 bids,26-Aug 19:00,4.10
124,MSI Armor OC GTX 1060 6GB Graphics Card 2,144.5,Pre-owned,*Buy Now*,25-Aug 11:45,5.00
125,MSI Armor OC GTX 1060 6GB Graphics Card,144.5,Pre-owned,*Buy Now*,24-Aug 12:47,5.00
126,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,120.0,Pre-owned,*Buy Now*,23-Aug 15:49,3.70
127,MSI NVIDIA GeForce GTX 1060 6 GB ARMOR 6G OC V1 GDDR5 Graphics Card - Black,169.0,Pre-owned,*Buy Now*,20-Aug 21:31,Free
128,MSI Armor OC GTX 1060 6GB Graphics Card,137.5,Pre-owned,*Buy Now*,19-Aug 19:48,5.00
129,MSI Armor OC GTX 1060 6GB Graphics Card,137.5,Pre-owned,*Buy Now*,17-Aug 23:25,5.00
130,MSI Armor OC GTX 1060 6GB Graphics Card,137.5,Pre-owned,*Buy Now*,17-Aug 12:20,5.00
131,MSI Armor OC GTX 1060 6GB Graphics Card 2,137.5,Pre-owned,*Buy Now*,17-Aug 10:46,5.00
132,MSI GeForce GTX 1060 ARMOR 6G Graphics Card,115.0,Pre-owned,11 bids,09-Aug 15:11,4.10
133,MSI GF GTX 1060 ARMOR 6G OCV1 NVIDIA GeForce GTX 1060 6GB GDDR5 VR Graphics Card,160.0,Pre-owned,5 bids,05-Aug 17:03,4.50
136,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,128.0,Pre-owned,20 bids,28-Jul 19:00,4.10
137,MSI GeForce GTX 1060 ARMOR 6G Graphics Card,132.0,Pre-owned,15 bids,27-Jul 10:19,4.10
139,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,139.0,Pre-owned,23 bids,18-Jul 20:27,4.10
140,MSI Armor geforce gtx 1060 6gb OCV1,122.01,Pre-owned,9 bids,18-Jul 17:11,9.99
141,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,137.0,Pre-owned,17 bids,11-Jul 18:48,4.10
142,MSI NVIDIA GTX 1060 ARMOR OC 6GB,149.87,Pre-owned,10 bids,05-Jul 18:07,3.95
143,MSI GeForce GTX 1060  6 GB ARMOR Graphics Card GPU ,135.0,Pre-owned,23 bids,05-Jul 13:44,Free
144,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,139.0,Pre-owned,14 bids,04-Jul 18:11,4.10
146,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,135.0,Pre-owned,17 bids,27-Jun 14:20,4.10
147,MSI GeForce GTX 1060 3gb Armor OCV1,98.8,Pre-owned,7 bids,26-Jun 21:32,3.70
148,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,137.0,Pre-owned,11 bids,20-Jun 13:59,4.10
149,MSI GeForce GTX 1060 ARMOR 6GB GDDR5 OC Graphics Card,155.0,Pre-owned,*Buy Now*,18-Jun 20:25,5.00
150,MSI Gaming Armor GeForce GTX 1060 6GB GDDR5 GTX1060 Armor 6G OC Graphics Card,159.99,Pre-owned,*Buy Now*,18-Jun 11:40,Free
151,MSI NVIDIA GeForce GTX 1060 ARMOR 6GB OC Edition Graphics Card,155.0,Pre-owned,1 bid,17-Jun 19:30,4.00
152,MSI Nvidia Geforce GTX 1060 Armor 6GB,135.0,Pre-owned,7 bids,16-Jun 12:18,3.70
153,MSI ARMOR OC - NVIDIA GeForce GTX 1060 3GB GDDR5 Graphics Card GPU -GTX10603GTOC,105.0,Pre-owned,10 bids,15-Jun 21:20,Free
154,MSI GeForce GTX 1060 ARMOR 6GB OCV1 graphics card,133.0,Pre-owned,20 bids,14-Jun 18:54,4.97
155,MSI GeForce GTX 1060 ARMOR 6GB OCV1 graphics card,142.0,Pre-owned,14 bids,13-Jun 13:04,4.10
156,MSI NVIDIA GeForce GTX 1060 6GB ARMOR OC Graphics Card,144.0,Pre-owned,27 bids,11-Jun 19:54,8.00
157,MSI ARMOR OC - NVIDIA GeForce GTX 1060 3GB GDDR5 Graphics Card GPU -GTX10603GTOC,92.0,Pre-owned,4 bids,07-Jun 13:53,Free
159,MSI GeForce GTX 1060 3GB - Armor - Used ,91.7,Pre-owned,10 bids,02-Jun 06:32,5.90
160,Video card MSI Armor GTX 1060 3GB,107.0,Pre-owned,*Buy Now*,02-Jun 01:40,7.90
161,MSI NVIDIA GeForce GTX 1060 ARMOR 6GB OC Edition Graphics Card,127.0,Pre-owned,3 bids,31-May 11:58,Free
162,Video card GTX 1060 3GB MSI Armor,109.0,Pre-owned,*Buy Now*,30-May 14:01,6.90
163,Video card GTX 1060 3GB MSI Armor,119.0,Pre-owned,*Buy Now*,29-May 08:46,6.90
164,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,123.88,Pre-owned,17 bids,26-Aug 19:00,4.10
165,MSI Armor OC GTX 1060 6GB Graphics Card 2,144.5,Pre-owned,*Buy Now*,25-Aug 11:45,5.00
166,MSI Armor OC GTX 1060 6GB Graphics Card,144.5,Pre-owned,*Buy Now*,24-Aug 12:47,5.00
167,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,120.0,Pre-owned,*Buy Now*,23-Aug 15:49,3.70
168,MSI NVIDIA GeForce GTX 1060 6 GB ARMOR 6G OC V1 GDDR5 Graphics Card - Black,169.0,Pre-owned,*Buy Now*,20-Aug 21:31,Free
169,MSI Armor OC GTX 1060 6GB Graphics Card,137.5,Pre-owned,*Buy Now*,19-Aug 19:48,5.00
170,MSI Armor OC GTX 1060 6GB Graphics Card,137.5,Pre-owned,*Buy Now*,17-Aug 23:25,5.00
171,MSI Armor OC GTX 1060 6GB Graphics Card,137.5,Pre-owned,*Buy Now*,17-Aug 12:20,5.00
172,MSI Armor OC GTX 1060 6GB Graphics Card 2,137.5,Pre-owned,*Buy Now*,17-Aug 10:46,5.00
173,MSI GeForce GTX 1060 ARMOR 6G Graphics Card,115.0,Pre-owned,11 bids,09-Aug 15:11,4.10
174,MSI GF GTX 1060 ARMOR 6G OCV1 NVIDIA GeForce GTX 1060 6GB GDDR5 VR Graphics Card,160.0,Pre-owned,5 bids,05-Aug 17:03,4.50
177,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,128.0,Pre-owned,20 bids,28-Jul 19:00,4.10
178,MSI GeForce GTX 1060 ARMOR 6G Graphics Card,132.0,Pre-owned,15 bids,27-Jul 10:19,4.10
180,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,139.0,Pre-owned,23 bids,18-Jul 20:27,4.10
181,MSI Armor geforce gtx 1060 6gb OCV1,122.01,Pre-owned,9 bids,18-Jul 17:11,9.99
182,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,137.0,Pre-owned,17 bids,11-Jul 18:48,4.10
183,MSI NVIDIA GTX 1060 ARMOR OC 6GB,149.87,Pre-owned,10 bids,05-Jul 18:07,3.95
184,MSI GeForce GTX 1060  6 GB ARMOR Graphics Card GPU ,135.0,Pre-owned,23 bids,05-Jul 13:44,Free
185,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,139.0,Pre-owned,14 bids,04-Jul 18:11,4.10
187,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,135.0,Pre-owned,17 bids,27-Jun 14:20,4.10
188,MSI GeForce GTX 1060 3gb Armor OCV1,98.8,Pre-owned,7 bids,26-Jun 21:32,3.70
189,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,137.0,Pre-owned,11 bids,20-Jun 13:59,4.10
190,MSI GeForce GTX 1060 ARMOR 6GB GDDR5 OC Graphics Card,155.0,Pre-owned,*Buy Now*,18-Jun 20:25,5.00
191,MSI Gaming Armor GeForce GTX 1060 6GB GDDR5 GTX1060 Armor 6G OC Graphics Card,159.99,Pre-owned,*Buy Now*,18-Jun 11:40,Free
192,MSI NVIDIA GeForce GTX 1060 ARMOR 6GB OC Edition Graphics Card,155.0,Pre-owned,1 bid,17-Jun 19:30,4.00
193,MSI Nvidia Geforce GTX 1060 Armor 6GB,135.0,Pre-owned,7 bids,16-Jun 12:18,3.70
194,MSI ARMOR OC - NVIDIA GeForce GTX 1060 3GB GDDR5 Graphics Card GPU -GTX10603GTOC,105.0,Pre-owned,10 bids,15-Jun 21:20,Free
195,MSI GeForce GTX 1060 ARMOR 6GB OCV1 graphics card,133.0,Pre-owned,20 bids,14-Jun 18:54,4.97
196,MSI GeForce GTX 1060 ARMOR 6GB OCV1 graphics card,142.0,Pre-owned,14 bids,13-Jun 13:04,4.10
197,MSI NVIDIA GeForce GTX 1060 6GB ARMOR OC Graphics Card,144.0,Pre-owned,27 bids,11-Jun 19:54,8.00
198,MSI ARMOR OC - NVIDIA GeForce GTX 1060 3GB GDDR5 Graphics Card GPU -GTX10603GTOC,92.0,Pre-owned,4 bids,07-Jun 13:53,Free
200,MSI GeForce GTX 1060 3GB - Armor - Used ,91.7,Pre-owned,10 bids,02-Jun 06:32,5.90
201,Video card MSI Armor GTX 1060 3GB,107.0,Pre-owned,*Buy Now*,02-Jun 01:40,7.90
202,MSI NVIDIA GeForce GTX 1060 ARMOR 6GB OC Edition Graphics Card,127.0,Pre-owned,3 bids,31-May 11:58,Free
203,Video card GTX 1060 3GB MSI Armor,109.0,Pre-owned,*Buy Now*,30-May 14:01,6.90
204,Video card GTX 1060 3GB MSI Armor,119.0,Pre-owned,*Buy Now*,29-May 08:46,6.90
205,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,123.88,Pre-owned,17 bids,26-Aug 19:00,4.10
206,MSI Armor OC GTX 1060 6GB Graphics Card 2,144.5,Pre-owned,*Buy Now*,25-Aug 11:45,5.00
207,MSI Armor OC GTX 1060 6GB Graphics Card,144.5,Pre-owned,*Buy Now*,24-Aug 12:47,5.00
208,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,120.0,Pre-owned,*Buy Now*,23-Aug 15:49,3.70
209,MSI NVIDIA GeForce GTX 1060 6 GB ARMOR 6G OC V1 GDDR5 Graphics Card - Black,169.0,Pre-owned,*Buy Now*,20-Aug 21:31,Free
210,MSI Armor OC GTX 1060 6GB Graphics Card,137.5,Pre-owned,*Buy Now*,19-Aug 19:48,5.00
211,MSI Armor OC GTX 1060 6GB Graphics Card,137.5,Pre-owned,*Buy Now*,17-Aug 23:25,5.00
