spec
asrock z77 extreme 4
GTX 1660
MSI gtx 1060 armor
rx 570
RX580
Ryzen 5 3600
synology
RTX 2080
PS4 slim 500gb
RTX 2070
Ryzen 3 3200G
B450 Mortar
