,title,price,condition,bids,sold date,postage
48,RX 580 8GB Red Devil PowerColor AMD ATI Radeon ( read Description ),132.0,Pre-owned,24 bids,07-Aug 19:25,5.10
0,ASUS Dual OC RX 580 8GB Graphics Card 3,134.99,Pre-owned,*Buy Now*,23-Aug 21:07,5.00
1,SAPPHIRE Pulse AMD Radeon RX 580 4GB GDDR5 graphics card - excellent condition,95.0,Pre-owned,14 bids,23-Aug 20:59,Free
2,ASUS Dual OC RX 580 8GB Graphics Card,134.99,Pre-owned,*Buy Now*,23-Aug 20:46,5.00
3,PowerColor Radeon RX 580 RED Dragon V2 Graphic Card 8 GB,125.0,Pre-owned,*Buy Now*,23-Aug 20:31,Free
5,PowerColor Red Devil Radeon RX 580 8GB GDDR5 Golden Sample,127.0,Pre-owned,16 bids,23-Aug 18:39,8.80
6,New listingSapphire Radeon Pulse RX 580 8gb GDDR5 11265-05-20G,125.0,Pre-owned,1 bid,23-Aug 13:45,4.10
7,MSI GAMING X RX 580 8GB Graphics Card 2,139.9,Pre-owned,*Buy Now*,23-Aug 13:23,5.00
8,"AMD APPLE Radeon RX 580 NITRO 8GB Mac Edition With Boot screen, for Mac Pro",359.95,Refurbished,*Buy Now*,23-Aug 13:14,Free
9,MSI Radeon RX 580 Gaming X Plus 8GB DDR5 Perfect Condition Tested and Working,134.0,Pre-owned,9 bids,23-Aug 11:52,5.00
10,Genuine SAPPHIRE NITRO+ RADEON RX 580 4GB G5 GPU in Excellent Condition UK,118.0,Refurbished,*Buy Now*,23-Aug 11:39,5.99
11,"SAPPHIRE RX 580 ""NITRO"" 4GB (GDDR5) AMD NVIDIA Graphics Card ",150.0,Brand new,*Buy Now*,23-Aug 10:55,5.99
12,SAPPHIRE 11265-01-20G Radeon RX 580 8GB GDDR5 Graphics Card,160.0,Refurbished,*Buy Now*,23-Aug 01:31,Free
13,Gigabyte Aorus AMD Radeon Rx 580 4GB GV-RX580AORUS-4GD,131.33,Pre-owned,*Buy Now*,23-Aug 01:22,54.72
14,New listingGIGABYTE AMD Radeon RX 580 8GB GDDR5 Graphics Card (GVRX580GAMING8GD),115.0,Pre-owned,*Buy Now*,22-Aug 23:36,3.10
15,Cooler Fan for MSI RX470 480 570 580 GTX1080Ti 1080 1070 1060 GAMING Card ,14.53,Brand new,*Buy Now*,22-Aug 20:49,Free
16, RX 470 RX 480 RX 570 RX580 rx480 rx580 Bios MOD H.R 27/31 800+ CryptoNig mining,3.82,Brand new,*Buy Now*,22-Aug 19:49,Free
17,MSI Radeon RX 580 8GB ARMOR Graphics Card,154.49,Brand new,*Buy Now*,22-Aug 19:48,Free
18,SAPPHIRE NITRO+ RADEON RX 580 8GB GDDR5 GRAPHICS CARD. VERY GOOD CONDITION.,132.0,Pre-owned,16 bids,22-Aug 19:22,4.10
20,XFX Radeon RX 580 8GB GTS XXX Graphics Card,122.5,Pre-owned,18 bids,22-Aug 19:09,9.50
21,XFX Radeon RX 580 8GB GTS XXX Graphics Card,162.0,Brand new,*Buy Now*,22-Aug 18:48,Free
22,BEST For Sapphire RX470 RX480 RX570 RX580 RX590 Graphics Cooling GPU Fan Y6O3,5.55,Brand new,*Buy Now*,22-Aug 18:18,Free
