,title,price,condition,bids,sold date,postage
6,MSI Radeon RX 570 ARMOR 8G OC Edition Graphics Card,99.0,Pre-owned,4 bids,26-Aug 17:10,8.99
7,New listingSAPPHIRE Nitro+ AMD Radeon RX 570 8GB Graphics Card,99.0,Pre-owned,1 bid,26-Aug 13:24,3.10
8,New listingRX 570 AMD MSI RADEON 4GB (GAMING X),75.0,Pre-owned,1 bid,26-Aug 11:20,5.20
10,Asus rog strix RX570 4GB,60.0,Pre-owned,1 bid,25-Aug 19:17,4.50
11,Asus rog strix RX570 4GB,45.0,Pre-owned,1 bid,25-Aug 17:59,4.50
12,Asus Radeon RX 570 ROG STRIX 4GB GDDR5 GAMING GPU VIDEO CARD,83.0,Pre-owned,9 bids,25-Aug 17:30,4.10
13,SAPPHIRE NITRO+ RX 570 4GB GDDR5 Graphics Card,75.0,Pre-owned,*Buy Now*,25-Aug 17:30,17.00
14,MSI RADEON RX 570 ARMOR 8G OC Graphics Card,139.99,Brand new,*Buy Now*,25-Aug 02:14,15.00
15,"Radeon RX 570 Pulse ITX 4GB Graphics Card - boxed, good condition",76.0,Pre-owned,22 bids,24-Aug 21:46,5.00
16,SAPPHIRE Nitro+ AMD Radeon RX 570 8GB - Mint condition ,116.0,Pre-owned,11 bids,24-Aug 21:45,7.50
17,SAPPHIRE NITRO+ OC RX 570 4GB GDDR5 Graphics Card,89.99,Pre-owned,*Buy Now*,24-Aug 20:57,5.00
18,MSI Radeon RX 570 8GB ARMOR Graphics Card,139.99,Brand new,*Buy Now*,24-Aug 19:16,Free
19,GPU Cooler Graphics Card Fan GIGABYTE GV-RX570AORUS GVRX580AORUS Replacement New,13.99,Brand new,*Buy Now*,24-Aug 18:56,Free
20,"SAPPHIRE AMD Radeon RX 570 4GB GDDR5 GPU (HDMI, DP, DVI)",85.0,Pre-owned,*Buy Now*,24-Aug 18:26,Free
21,PowerColor Red Devil Radeon RX 570 OC 4GB GDDR5 GPU Video Card,82.0,Refurbished,13 bids,24-Aug 15:03,4.10
22,MSI Radeon Armor RX 570 4GB GDDR5 Graphics Card ,78.51,Pre-owned,*Buy Now*,24-Aug 14:52,47.34
23,MSI AMD Radeon RX 570 ARMOR 8G OC Graphics Card,125.0,Brand new,*Buy Now*,24-Aug 14:24,8.00
24,MSI AMD Radeon RX 570 Armor 8GB,101.0,Pre-owned,10 bids,24-Aug 14:06,5.20
25,Rx 570 8GB Faulty original box,35.0,Pre-owned,*Buy Now*,24-Aug 14:03,Free
26, Cooling Fan For Gigabyte GeForce GTX 1070 1050 Ti GTX 1060 960 RX 480 570 88MM ,7.96,Brand new,*Buy Now*,24-Aug 09:45,Free
27,SAPPHIRE Nitro AMD Radeon RX 570 4GB GDDR5 Graphics Card,90.0,Pre-owned,21 bids,23-Aug 23:17,4.10
28,"MSI RADEON RX 570 ARMOR 8G OC Graphics Card '8GB GDDR5, 1268Hz, AMD Polaris 20",117.0,Opened – never used,12 bids,23-Aug 23:09,5.20
29,"PowerColor Radeon RX 570 Red Dragon, 4GB GDDR5",70.0,Pre-owned,*Buy Now*,23-Aug 20:45,17.00
30,Perfect Condition GIGABYTE Radeon RX 570 4GB Video Card (GV-RX570GAMING-4GD-MI),87.02,Pre-owned,15 bids,23-Aug 15:38,4.36
31,SAPPHIRE NITRO+ OC RX 570 4GB GDDR5 Graphics Card 5,89.99,Pre-owned,*Buy Now*,23-Aug 14:51,5.00
32,Asus Radeon RX 570 ROG STRIX 4GB GDDR5 GAMING GPU VIDEO CARD,91.0,Pre-owned,26 bids,23-Aug 12:15,4.10
34,PowerColor Red Devil AMD Radeon™ RX 570 4GB,78.0,Pre-owned,4 bids,23-Aug 00:43,5.00
35,Cooler Fan for MSI RX470 480 570 580 GTX1080Ti 1080 1070 1060 GAMING Card ,14.48,Brand new,*Buy Now*,22-Aug 20:49,Free
36, RX 470 RX 480 RX 570 RX580 rx480 rx580 Bios MOD H.R 27/31 800+ CryptoNig mining,3.8,Brand new,*Buy Now*,22-Aug 19:49,Free
37,XFX Radeon RX 570 8GB XXX Graphics Card,147.49,Brand new,*Buy Now*,22-Aug 19:14,Free
38,ASUS AMD Radeon RX 570 8GB GDDR5 Strix Edition Graphic Card,114.0,Pre-owned,9 bids,22-Aug 18:50,Free
39,SAPPHIRE Radeon RX 570 4GB Pulse,64.45,Pre-owned,27 bids,22-Aug 18:24,22.53
40,BEST For Sapphire RX470 RX480 RX570 RX580 RX590 Graphics Cooling GPU Fan Y6O3,5.55,Brand new,*Buy Now*,22-Aug 18:18,Free
41,MSI AMD Radeon RX 570 ARMOR 8G OC GDDR5 Graphics Card,91.0,Pre-owned,18 bids,22-Aug 16:34,9.49
42,Gigabyte GTX 1070 GTX 1070ti RX580 RX570 WINDFORCE FAN PLD09210S12HH 87mm 4PIN,17.0,Brand new,*Buy Now*,22-Aug 15:06,Free
43,Asus ROG STRIX RX570 4G GAMING independent  graphics card/video card 4GB,123.91,Pre-owned,*Buy Now*,22-Aug 00:52,Free
44,Asus Radeon RX 570 ROG STRIX GAMING OC Edition 4GB GDDR5 Graphics Card GPU,81.99,Pre-owned,*Buy Now*,22-Aug 00:41,12.36
45,SAPPHIRE NITRO+ RX 570 4GB GDDR5 Graphics Card,75.0,Pre-owned,*Buy Now*,21-Aug 21:40,17.00
46,SAPPHIRE NITRO+ OC RX 570 4GB GDDR5 Graphics Card 2,89.99,Pre-owned,*Buy Now*,21-Aug 20:22,5.00
47,XFX AMD Radeon RX 570 (8GB) XXX Edition Graphics Card. 3 MONTHS OLD.,100.0,Pre-owned,1 bid,21-Aug 20:09,5.00
48,SAPPHIRE NITRO+ OC RX 570 4GB GDDR5 Graphics Card,89.99,Pre-owned,*Buy Now*,21-Aug 18:10,5.00
49,XFX AMD Radeon RX 570 8GB GDDR5 Graphics Card (RX570P8DFD6),154.37,Pre-owned,9 bids,21-Aug 18:08,14.48
50,Graphics Card Cooler T129215SM Fan For ASUS STRIX RX570 4G GAMING Graphics Card,7.48,Brand new,*Buy Now*,26-Aug 22:51,Free
51,SAPPHIRE NITRO+ OC RX 570 8GB GDDR5 Graphics Card,122.5,Pre-owned,*Buy Now*,26-Aug 22:32,5.00
52,New listingMSI Radeon RX 570 4GB GDDR5 256-bit ARMOR Graphics Card (OC Edition),99.0,Pre-owned,1 bid,26-Aug 22:21,3.95
53,Sapphire pulse rx 570 4gb ITX good working condition with box,80.0,Pre-owned,20 bids,26-Aug 21:30,4.50
54,XFX RX 570 4GB Graphics Card - READY TO SHIP FROM UK,90.0,Pre-owned,*Buy Now*,26-Aug 20:28,Free
55,SAPPHIRE NITRO+ OC RX 570 4GB GDDR5 Graphics Card 2,89.99,Pre-owned,*Buy Now*,26-Aug 19:41,5.00
56,GIGABYTE Radeon RX 570 GAMING 4GB GDDR5 Graphics Card,86.0,Pre-owned,14 bids,26-Aug 18:50,5.20
57,SAPPHIRE NITRO+ OC RX 570 4GB GDDR5 Graphics Card 3,89.99,Pre-owned,*Buy Now*,26-Aug 18:26,5.00
59,MSI Radeon RX 570 ARMOR 8G OC Edition Graphics Card,99.0,Pre-owned,4 bids,26-Aug 17:10,8.99
60,New listingSAPPHIRE Nitro+ AMD Radeon RX 570 8GB Graphics Card,99.0,Pre-owned,1 bid,26-Aug 13:24,3.10
61,New listingRX 570 AMD MSI RADEON 4GB (GAMING X),75.0,Pre-owned,1 bid,26-Aug 11:20,5.20
63,Asus rog strix RX570 4GB,60.0,Pre-owned,1 bid,25-Aug 19:17,4.50
