,title,price,condition,bids,sold date,postage
49,"ASRock Z68 Extreme4, LGA 1155/Socket H2 Motherboard",52.0,Pre-owned,7 bids,20-Jun 18:49,5.57
50,ASRock Z370 Extreme4 Motherboard See Description!,46.0,Pre-owned,16 bids,14-Jun 21:41,4.00
51,ASRock Z390 Extreme4 motherboard,102.0,Pre-owned,27 bids,03-Jun 19:19,Free
52,ASRock Z68 Extreme4 LGA 1155 Intel Motherboard,55.5,Pre-owned,11 bids,25-May 14:45,4.10
53,ASRock Z170 Extreme 6 LGA 1151 ATX Motherboard,58.5,Pre-owned,5 bids,14-Jul 19:33,7.50
54,ASRock Z170 Extreme 6 LGA 1151 ATX Motherboard,46.0,Pre-owned,4 bids,22-Jul 18:29,7.50
55,ASROCK Z77 Extreme6  SOCKET 1155 MOTHERBOARD,99.95,Pre-owned,*Buy Now*,20-May 22:08,Free
56,ASRock Z87 Extreme4 Motherboard,50.0,Pre-owned,5 bids,11-Jun 10:09,5.57
57,"ASRock Z97 Extreme4, LGA 1150/Socket H3, Intel Motherboard",87.0,Pre-owned,19 bids,06-Jul 13:51,5.57
58,"ASRock Z97 Extreme4, LGA 1150/Socket H3, Intel Motherboard",91.0,Pre-owned,18 bids,26-Jun 19:53,4.10
59,Asrock Z77E-ITX Mini-ITX Skt 1155 Motherboard with upgraded WI-FI and Bluetooth,72.0,Pre-owned,7 bids,03-Aug 19:00,4.36
60,ASRock Z170 Extreme4 Motherboard -  7th and 6th Gen Intel® Core™ Socket 1151,71.0,Pre-owned,2 bids,22-May 23:59,Free
61,"ASRock Z97 Extreme4, LGA 1150/Socket H3, Intel Motherboard",76.0,Pre-owned,14 bids,19-Jun 21:20,7.00
62,Asrock Z390 Extreme4 Intel Z390 1151 ATX,102.0,Pre-owned,15 bids,16-Jun 12:23,9.99
63,Asrock Z170 Extreme4 Motherboard,79.0,Pre-owned,1 bid,03-Jul 12:08,3.10
64,ASRock Fatal1ty Z170 Gaming K4 socket LGA1151 motherboard,45.57,Pre-owned,3 bids,27-Jun 17:44,Free
65,ASROCK X299M EXTREME4 INTEL MOTHERBOARD Brand New,150.0,Brand new,1 bid,09-Aug 17:47,5.57
66,ASROCK Z390 PRO4 MOTHERBOARD ATX INTEL skt 1151,53.0,Pre-owned,11 bids,19-Jul 19:57,8.00
67,ASROCK Z87 Extreme 4/A/ASR LGA1150 (90-MXGPC0-A0UAYZ),70.0,Refurbished,*Buy Now*,07-Jul 15:11,Free
68,ASRock socket AM3+  970 extreme 4 motherboard 90-MXGIP0-A0UAYZ,47.0,Pre-owned,22 bids,05-Jul 13:49,Free
69,ASRock H77 Pro4-M Intel LGA1155 motherboard Micro ATX HDMI,64.0,Refurbished,10 bids,08-Jun 20:44,9.02
70,Motherboard ATX ASRock Z370 Extreme4 Socket 1151,71.0,Pre-owned,27 bids,01-Jun 19:06,7.00
0,"ASRock Z77 Extreme6, LGA 1155, Mobo with intel i5 - 3570k and 32gb ram hyperX",146.0,Pre-owned,1 bid,22-Aug 21:26,9.00
1,asrock z77 extreme4,73.0,Pre-owned,10 bids,17-Aug 10:54,5.57
2,"ASRock Z77 Extreme4 LGA 1155 Motherboard, 3.3GHz Intel core I5-2500k,4096 Memory",70.0,Pre-owned,4 bids,17-Aug 09:31,4.10
3,ASRock Z77 Extreme6 LGA 1155 Socket H2 Intel Motherboard,102.0,Opened – never used,11 bids,15-Aug 18:07,3.70
4,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",71.0,Pre-owned,11 bids,11-Aug 11:39,5.57
6,ASROCK Z77 Extreme4  SOCKET 1155 MOTHERBOARD,45.0,Pre-owned,33 bids,07-Aug 17:38,Free
7,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",67.99,Pre-owned,14 bids,05-Aug 09:15,6.00
8,"ASRock Z77 Extreme6, LGA 1155/Socket H2, Intel Motherboard",70.0,Pre-owned,14 bids,04-Aug 17:11,9.02
9,Original ASRock Z77 Extreme4 Intel Z77 Motherboard LGA 1155 DDR3,99.45,Refurbished,*Buy Now*,03-Aug 08:58,Free
10,"ASRock Z77 Extreme6, LGA 1155/Socket H2, Intel (90-MXGJK0-A0UAYZ) Motherboard",52.0,Pre-owned,19 bids,02-Aug 13:29,10.00
11,ASROCK Z77 Extreme4  SOCKET 1155 MOTHERBOARD,114.95,Pre-owned,*Buy Now*,11-Jul 18:44,Free
12,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",70.0,Pre-owned,*Buy Now*,08-Jul 10:27,5.57
13,ASRock Z77 Extreme6 LGA 1155 Socket H2 Intel Motherboard,72.0,Pre-owned,28 bids,06-Jul 21:06,15.00
15,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",99.99,Pre-owned,*Buy Now*,02-Jul 08:03,Free
16,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",52.0,Pre-owned,5 bids,26-Jun 17:53,Free
17,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",82.0,Pre-owned,26 bids,22-Jun 12:57,5.57
18,ASROCK Z77 Extreme4 SOCKET 1155 MOTHERBOARD,114.95,Pre-owned,*Buy Now*,22-Jun 11:02,Free
19,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",93.0,Pre-owned,19 bids,20-Jun 15:25,5.50
20,Intel i5-2500k Processor & ASRock Z77 Extreme4 Motherboard BUNDLE,99.0,Pre-owned,5 bids,19-Jun 19:01,4.10
22,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",119.99,Pre-owned,*Buy Now*,08-Jun 17:43,Free
23,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel Motherboard",51.0,Pre-owned,14 bids,06-Jun 18:04,5.57
24,ASRock Z77 Extreme3 LGA 1155 Intel Z77 DDR3 ATX DVI HDMI USB3.0 2K Motherboard,94.09,Pre-owned,*Buy Now*,03-Jun 21:51,Free
26,"AsRock Z77 Extreme4 Motherboard (Socket 1155, Intel Z77, Up to 32GB DDR3, ATX)",65.0,Pre-owned,9 bids,31-May 22:29,3.50
27,ASROCK EXTREME11 Z77 LGA 1155 MOTHERBOARD + I/O SHIELD + MANUAL,73.0,Pre-owned,38 bids,31-May 20:06,Free
